team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Clemson,Brad Brownell,sports_reference_2022_coaches,6,1,0,0,3,1,0,0,8,0.874
Northern Arizona,Shane Burcar,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Georgia Southern,Brian Burg,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Northern Illinois,Rashon Burno,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Alcorn State,Landon Bussie,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
James Madison,Mark Byington,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Youngstown State,Jerrod Calhoun,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Kentucky,John Calipari,sports_reference_2022_coaches,20,15,6,1,9,8,4,1,82,0.989
Pittsburgh,Jeff Capel III,sports_reference_2022_coaches,3,1,0,0,0,0,0,0,5,0.8096
George Washington,Jamion Christian,sports_reference_2022_coaches,2,0,0,0,0,0,0,0,2,0.674
Nicholls State,Austin Claunch,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Idaho,Zac Claus,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Hofstra,Speedy Claxton,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Portland State,Jase Coburn,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Northeastern,Bill Coen,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
Purdue Fort Wayne,Jon Coffman,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Tennessee State,Brian Collins,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Northwestern,Chris Collins,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Providence,Ed Cooley,sports_reference_2022_coaches,5,0,0,0,5,0,0,0,5,0.8096
Houston Christian,Ron Cottrell,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Rhode Island,David Cox,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Gardner-Webb,Tim Craft,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Maryland-Eastern Shore,Jason Crafton,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Georgia,Tom Crean,sports_reference_2022_coaches,9,4,1,0,0,0,0,0,21,0.9466
IU Indianapolis,Matt Crenshaw,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
UCLA,Mick Cronin,sports_reference_2022_coaches,12,2,1,0,1,1,1,0,20,0.9411
Troy,Scott Cross,sports_reference_2022_coaches,1,0,0,0,0,0,0,0,1,0.5603
Cal Baptist,Rick Croy,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Incarnate Word,Carson Cunningham,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Marshall,Dan D'Antoni II,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Duquesne,Keith Dambrot,sports_reference_2022_coaches,3,0,0,0,0,0,0,0,3,0.7452
Bellarmine,Scott Davenport,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
North Carolina,Hubert Davis,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Mississippi,Kermit Davis Jr,sports_reference_2022_coaches,6,0,0,0,1,0,0,0,6,0.8397
Detroit Mercy,Mike Davis,sports_reference_2022_coaches,9,1,1,0,0,0,0,0,15,0.9205
Bucknell,Nathan Davis,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
UCF,Johnny Dawkins Jr,sports_reference_2022_coaches,2,1,0,0,1,0,0,0,4,0.7849
Navy,Ed DeChellis,sports_reference_2022_coaches,2,0,0,0,0,0,0,0,2,0.674
Montana,Travis DeCuire,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
Drake,Darian DeVries,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
USC Upstate,Dave Dickerson,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
TCU,Jamie Dixon,sports_reference_2022_coaches,12,3,0,0,1,0,0,0,18,0.9315
Coppin State,Juan Dixon,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Penn,Steve Donahue,sports_reference_2022_coaches,4,1,0,0,1,0,0,0,6,0.8397
Missouri-Kansas City,Billy Donlon,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
East Carolina,Joe Dooley,sports_reference_2022_coaches,2,0,0,0,0,0,0,0,2,0.674
Grand Canyon,Bryce Drew,sports_reference_2022_coaches,4,0,0,0,1,0,0,0,4,0.7849
Baylor,Scott Drew,sports_reference_2022_coaches,9,5,1,1,9,5,1,1,31,0.9644
North Florida,Matthew Driscoll,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Quinnipiac,Baker Dunleavy,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Marist,John Dunne,sports_reference_2022_coaches,1,0,0,0,0,0,0,0,1,0.5603
UMass-Lowell,Pat Duquette,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
San Diego St.,Brian Dutcher,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
Cornell,Brian Earl,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
VMI,Dan Earl,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Coastal Carolina,Cliff Ellis,sports_reference_2022_coaches,10,3,0,0,2,0,0,0,16,0.9247
USC,Andy Enfield,sports_reference_2022_coaches,4,2,0,0,3,1,0,0,8,0.874
Mount St. Mary's,Dan Engelstad,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Columbia,Jim Engles,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
George Mason,Kim English,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Georgetown,Patrick Ewing,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Presbyterian,Quinton Ferrell,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
